Alpha,Epoch,Train Accuracy,Test Accuracy
0.1,52,0.8419254658385094,0.8449355868100697
0.1,53,0.8180124223602484,0.8191703108379624
0.1,54,0.8409937888198757,0.8468266162392152
0.1,55,0.8400621118012422,0.8428081787022811
0.1,56,0.8149068322981367,0.822479612338967
0.1,57,0.8309937888198757,0.8350076823070559
0.1,58,0.8352173913043478,0.8396170665405981
0.1,59,0.8342857142857143,0.8377260371114525
0.1,60,0.837639751552795,0.8413899066304219
0.1,61,0.8462732919254659,0.8458811015246425
0.1,62,0.8163354037267081,0.8202340148918568
0.1,63,0.8334782608695652,0.8315801914667297
0.1,64,0.8364596273291925,0.8324075168419809
0.1,65,0.8402484472049689,0.8398534452192412
0.1,66,0.841304347826087,0.8387897411653469
0.1,67,0.8318633540372671,0.8345349249497696
0.1,68,0.843167701863354,0.8410353386124572
0.1,69,0.8277018633540373,0.8295709726982626
0.1,70,0.8422981366459628,0.8469448055785368
0.1,71,0.8302484472049689,0.8305164874128353
0.1,72,0.8394409937888199,0.8405625812551708
0.1,73,0.8359627329192546,0.8337075995745183
0.1,74,0.843416149068323,0.8396170665405981
0.1,75,0.8285714285714286,0.8340621675924832
0.1,76,0.8340993788819876,0.8342985462711263
0.1,77,0.8412422360248447,0.8417444746483868
0.1,78,0.8320496894409938,0.8345349249497696
0.1,79,0.83472049689441,0.8373714690934878
0.1,80,0.832360248447205,0.836425954378915
0.1,81,0.8336645962732919,0.836425954378915
0.1,82,0.8061490683229814,0.8106606784068077
0.1,83,0.836583850931677,0.8319347594846945
0.1,84,0.8406211180124223,0.8456447228459993
0.1,85,0.8338509316770186,0.8357168183429855
0.1,86,0.8224844720496894,0.8259071031792933
0.1,87,0.837639751552795,0.836425954378915
0.1,88,0.8319875776397515,0.8384351731473821
0.1,89,0.8293788819875776,0.830634676752157
0.1,90,0.8402484472049689,0.8430445573809242
0.1,91,0.836832298136646,0.8361895757002719
0.1,92,0.8332298136645963,0.8342985462711263
0.1,93,0.8270186335403726,0.8299255407162274
0.1,94,0.8280124223602484,0.8318165701453729
0.1,95,0.8332919254658385,0.833234842217232
0.1,96,0.8450310559006211,0.8386715518260253
0.1,97,0.8339130434782609,0.8340621675924832
0.1,98,0.8298757763975155,0.8352440609856991
0.1,99,0.8369565217391305,0.8374896584328093
0.1,100,0.7896894409937888,0.7916321947760312
0.5,1,0.8021739130434783,0.8026238033329394
0.5,2,0.8126708074534161,0.8052239687980144
0.5,3,0.8137888198757764,0.8170429027301738
0.5,4,0.8132298136645962,0.8147973052830635
0.5,5,0.820807453416149,0.8207067722491431
0.5,6,0.7920496894409937,0.7934050348658551
0.5,7,0.8088819875776397,0.8062876728519087
0.5,8,0.8281987577639751,0.8279163219477603
0.5,9,0.81527950310559,0.8201158255525351
0.5,10,0.8026708074534161,0.8049875901193713
0.5,11,0.8252173913043478,0.8266162392152228
0.5,12,0.8234782608695652,0.8249615884647205
0.5,13,0.8211180124223603,0.8243706417681125
0.5,14,0.8079503105590062,0.8071149982271599
0.5,15,0.8028571428571428,0.8087696489776622
0.5,16,0.8047826086956522,0.8100697317101997
0.5,17,0.7929192546583851,0.7931686561872119
0.5,18,0.8104968944099379,0.8046330221014064
0.5,19,0.810807453416149,0.8138517905684908
0.5,20,0.8141614906832298,0.8137336012291692
0.5,21,0.7883229813664596,0.7932868455265335
0.5,22,0.8063354037267081,0.8104242997281645
0.5,23,0.822360248447205,0.8211795296064295
0.5,24,0.7676397515527951,0.7651577827679943
0.5,25,0.8361490683229814,0.8406807705944924
0.5,26,0.8240993788819876,0.8352440609856991
0.5,27,0.7966459627329192,0.8004963952251507
0.5,28,0.8228571428571428,0.8229523696962534
0.5,29,0.8345962732919254,0.8377260371114525
0.5,30,0.7769565217391304,0.7830043730055549
0.5,31,0.8199378881987578,0.8255525351613284
0.5,32,0.8059006211180124,0.8099515423708782
0.5,33,0.807639751552795,0.8139699799078123
0.5,34,0.8139751552795031,0.8151518733010282
0.5,35,0.8262732919254658,0.8238978844108261
0.5,36,0.8011180124223602,0.807351376905803
0.5,37,0.811304347826087,0.8090060276563054
0.5,38,0.8154658385093168,0.8170429027301738
0.5,39,0.7822981366459627,0.7807587755584446
0.5,40,0.8086335403726708,0.809715163692235
0.5,41,0.8194409937888198,0.823070559035575
0.5,42,0.8066459627329192,0.8098333530315566
0.5,43,0.7780745341614906,0.7744947405744002
0.5,44,0.7826708074534161,0.7848954024347004
0.5,45,0.7109937888198757,0.7149273135563172
0.5,46,0.8040372670807453,0.8062876728519087
0.5,47,0.822111801242236,0.8251979671433637
0.5,48,0.7860869565217391,0.7813497222550526
0.5,49,0.8165838509316771,0.819879446873892
0.5,50,0.818136645962733,0.8189339321593192
0.5,51,0.8162111801242236,0.8194066895166056
0.5,52,0.8229813664596274,0.8352440609856991
0.5,53,0.7004968944099379,0.7009809715163692
0.5,54,0.8144099378881987,0.8186975534806761
0.5,55,0.7858385093167702,0.7805223968798014
0.5,56,0.8275155279503106,0.8267344285545444
0.5,57,0.7994409937888198,0.7984871764566837
0.5,58,0.7922360248447204,0.7958870109916085
0.5,59,0.7757142857142857,0.7795768821652287
0.5,60,0.818944099378882,0.8241342630894694
0.5,61,0.8272049689440993,0.8255525351613284
0.5,62,0.7940372670807453,0.800141827207186
0.5,63,0.8352173913043478,0.8353622503250206
0.5,64,0.8135403726708075,0.8190521214986408
0.5,65,0.8306211180124223,0.8365441437182366
0.5,66,0.7777639751552795,0.7759130126462593
0.5,67,0.793416149068323,0.795768821652287
0.5,68,0.7829813664596273,0.7841862663987709
0.5,69,0.8003726708074534,0.8026238033329394
0.5,70,0.8327329192546584,0.83382578891384
0.5,71,0.7514285714285714,0.7590119371232715
0.5,72,0.8057142857142857,0.804751211440728
0.5,73,0.7901863354037267,0.7883228932750266
0.5,74,0.7622360248447205,0.7633849426781705
0.5,75,0.7462732919254659,0.7470748138517905
0.5,76,0.8234782608695652,0.8216522869637158
0.5,77,0.74,0.7424654296182485
0.5,78,0.7765217391304348,0.7785131781113344
0.5,79,0.8119875776397516,0.8094787850135918
0.5,80,0.6699378881987578,0.6730882874364732
0.5,81,0.7920496894409937,0.7934050348658551
0.5,82,0.8219254658385093,0.8229523696962534
0.5,83,0.8253416149068323,0.822479612338967
0.5,84,0.7928571428571428,0.7935232242051767
0.5,85,0.8065838509316771,0.8040420754047984
0.5,86,0.8306211180124223,0.8337075995745183
0.5,87,0.8020496894409938,0.7967143363668597
0.5,88,0.8032919254658385,0.8099515423708782
0.5,89,0.8203726708074535,0.8204703935704999
0.5,90,0.8265217391304348,0.8282708899657251
0.5,91,0.8081366459627329,0.8158610093369578
0.5,92,0.8279503105590063,0.8295709726982626
0.5,93,0.8145962732919255,0.8140881692471339
0.5,94,0.8154037267080745,0.8157428199976362
0.5,95,0.8240993788819876,0.8282708899657251
0.5,96,0.834223602484472,0.8363077650395935
0.5,97,0.8291304347826087,0.8293345940196194
0.5,98,0.8069565217391305,0.8064058621912303
0.5,99,0.7795031055900621,0.7819406689516606
0.5,100,0.8061490683229814,0.8107788677461293
1.0,1,0.8267080745341615,0.8333530315565536
1.0,2,0.8124223602484472,0.8179884174447465
1.0,3,0.7126708074534162,0.7165819643068195
1.0,4,0.831552795031056,0.832643895520624
1.0,5,0.8004968944099379,0.805342158137336
1.0,6,0.7876397515527951,0.7904503013828152
1.0,7,0.7857142857142857,0.7929322775085688
1.0,8,0.7236024844720497,0.7232005673088288
1.0,9,0.817639751552795,0.8248433991253988
1.0,10,0.834223602484472,0.8342985462711263
1.0,11,0.824472049689441,0.826852617893866
1.0,12,0.8116149068322981,0.8162155773549226
1.0,13,0.7423602484472049,0.7468384351731474
1.0,14,0.6713664596273292,0.6715518260252925
1.0,15,0.7674534161490684,0.7688216522869638
1.0,16,0.6885714285714286,0.6970807233187567
1.0,17,0.8106211180124223,0.8151518733010282
1.0,18,0.7540993788819875,0.7590119371232715
1.0,19,0.7604347826086957,0.7649214040893512
1.0,20,0.8147826086956522,0.8179884174447465
1.0,21,0.8022981366459627,0.8042784540834417
1.0,22,0.8150931677018634,0.8183429854627112
1.0,23,0.8296894409937888,0.8329984635385889
1.0,24,0.7996894409937888,0.7977780404207541
1.0,25,0.8245962732919254,0.8228341803569318
1.0,26,0.8084472049689441,0.8150336839617066
1.0,27,0.7547204968944099,0.7483748965843281
1.0,28,0.7892546583850931,0.7915140054367096
1.0,29,0.7798136645962733,0.7783949887720127
1.0,30,0.8236024844720496,0.823070559035575
1.0,31,0.8011180124223602,0.8078241342630895
1.0,32,0.8162732919254658,0.8165701453728874
1.0,33,0.8116149068322981,0.8118425718000236
1.0,34,0.8172670807453416,0.8075877555844463
1.0,35,0.7725465838509317,0.7762675806642241
1.0,36,0.8147826086956522,0.8146791159437419
1.0,37,0.8020496894409938,0.8030965606902257
1.0,38,0.8217391304347826,0.8211795296064295
1.0,39,0.8126086956521739,0.8203522042311784
1.0,40,0.7712422360248448,0.7741401725564354
1.0,41,0.746832298136646,0.750147736674152
